epoch,rx_pkts,age_ms,remote_state
1783368346,33370,1.2,3
1783368347,33485,7.3,3
1783368348,33600,5.2,3
1783368349,33713,9.1,3
1783368350,33827,7.7,3
1783368351,33943,4.5,3
1783368352,34058,4.1,3
1783368353,34171,4.6,3
1783368354,34286,5.8,3
1783368355,34399,8.7,3
1783368356,34513,0.4,3
1783368357,34625,2.7,3
1783368358,34740,6.6,3
1783368359,34854,4.0,3
1783368360,34968,4.1,3
1783368361,35082,2.7,3
1783368362,35195,6.3,3
1783368363,35310,2.2,3
1783368364,35425,2.5,3
1783368365,35542,0.7,3
1783368366,35655,4.7,3
1783368367,35769,5.2,3
1783368368,35885,0.4,3
1783368369,36000,2.5,3
1783368370,36114,4.3,3
1783368371,36228,3.6,3
1783368372,36341,3.5,3
1783368373,36455,4.7,3
1783368374,36569,5.6,3
1783368375,36683,6.3,3
1783368376,36797,5.0,3
1783368377,36911,5.7,3
1783368378,37026,6.3,3
1783368379,37139,7.0,3
1783368380,37254,4.1,3
1783368381,37368,6.9,3
1783368382,37483,0.2,3
1783368383,37597,4.4,3
1783368384,37710,6.5,3
1783368385,37825,1.7,3
1783368386,37939,9.6,3
1783368387,38053,1.2,3
1783368388,38167,0.1,3
1783368389,38281,0.8,3
1783368390,38395,6.1,3
1783368391,38508,6.4,3
1783368392,38623,2.8,3
1783368393,38737,0.3,3
1783368394,38850,3.1,3
1783368395,38965,1.0,3
1783368396,39078,8.6,3
1783368397,39193,3.3,3
1783368398,39307,4.4,3
1783368399,39423,4.0,3
1783368400,39538,2.7,3
1783368401,39652,6.9,3
1783368402,39767,1.1,3
1783368403,39879,0.8,3
1783368404,39993,2.0,3
1783368405,40108,1.2,3
1783368406,40221,6.3,3
1783368407,40337,6.5,3
1783368408,40451,3.3,3
1783368409,40565,7.1,3
1783368410,40679,6.2,3
1783368411,40793,6.3,3
1783368412,40906,1.9,3
1783368413,41020,3.8,3
1783368414,41133,7.9,3
1783368415,41249,1.0,3
1783368416,41362,6.0,3
1783368417,41475,8.8,3
1783368418,41589,3.1,3
1783368419,41703,0.0,3
1783368420,41817,4.2,3
1783368421,41931,8.3,3
1783368422,42044,3.8,3
1783368423,42158,8.1,3
1783368424,42273,1.1,3
1783368425,42387,5.4,3
1783368426,42502,7.2,3
1783368427,42617,5.7,3
1783368428,42733,7.2,3
1783368429,42846,6.7,3
1783368430,42961,6.8,3
1783368431,43076,3.5,3
1783368432,43190,0.1,3
1783368433,43304,1.1,3
1783368434,43417,3.9,3
1783368435,43532,4.0,3
1783368436,43646,7.1,3
1783368437,43762,0.1,3
1783368438,43875,2.0,3
1783368439,43990,7.6,3
1783368440,44103,9.2,3
1783368441,44216,3.2,3
1783368442,44331,2.5,3
1783368443,44444,3.8,3
1783368444,44558,8.2,3
1783368445,44672,6.8,3
1783368446,44786,6.3,3
1783368447,44900,6.2,3
1783368448,45016,0.4,3
1783368449,45129,5.7,3
1783368450,45243,1.5,3
1783368451,45358,5.5,3
1783368452,45471,2.3,3
1783368453,45585,4.7,3
1783368454,45700,2.6,3
1783368455,45815,1.2,3
1783368456,45930,1.6,3
1783368457,46044,2.8,3
1783368458,46158,4.0,3
1783368459,46271,7.7,3
1783368460,46385,7.9,3
1783368461,46500,7.3,3
1783368462,46615,0.8,3
1783368463,46728,5.1,3
1783368464,46842,4.8,3
1783368465,46956,2.8,3
1783368466,47072,8.3,3
1783368467,47187,4.1,3
1783368468,47301,4.7,3
1783368469,47416,6.9,3
1783368470,47529,5.1,3
1783368471,47643,2.7,3
1783368472,47758,4.4,3
1783368473,47873,4.5,3
1783368474,47987,0.1,3
1783368475,48102,2.8,3
1783368476,48217,9.4,3
1783368477,48332,2.6,3
1783368478,48446,8.5,3
1783368479,48559,5.2,3
1783368480,48671,9.8,3
1783368481,48786,1.4,3
1783368482,48901,0.2,3
1783368483,49016,7.7,3
1783368484,49132,3.8,3
1783368485,49245,2.5,3
1783368486,49359,1.9,3
1783368487,49473,0.8,3
1783368488,49588,6.1,3
1783368489,49702,4.9,3
1783368490,49817,6.0,3
1783368491,49932,5.5,3
1783368492,50049,0.1,3
1783368493,50163,3.4,3
1783368494,50277,3.0,3
1783368495,50391,0.7,3
1783368496,50504,0.0,3
1783368497,50617,7.5,3
1783368498,50732,0.7,3
1783368499,50846,6.4,3
1783368500,50960,3.3,3
1783368501,51075,7.4,3
1783368502,51190,6.6,3
1783368503,51304,7.1,3
1783368504,51417,3.5,3
1783368505,51531,3.3,3
1783368506,51646,1.4,3
1783368507,51762,6.5,3
1783368508,51876,0.6,3
1783368509,51991,1.4,3
1783368510,52104,0.5,3
1783368511,52217,5.1,3
1783368512,52331,2.1,3
1783368513,52445,5.6,3
1783368514,52559,7.5,3
1783368515,52675,0.6,3
1783368516,52790,3.6,3
1783368517,52903,2.1,3
1783368518,53016,6.0,3
1783368519,53130,2.6,3
1783368520,53244,3.9,3
1783368521,53358,7.1,3
1783368522,53474,0.7,3
1783368523,53588,5.6,3
1783368524,53702,4.8,3
1783368525,53817,1.9,3
1783368526,53930,4.4,3
1783368527,54044,5.0,3
1783368528,54158,3.2,3
1783368529,54272,6.3,3
1783368530,54386,7.2,3
1783368531,54502,4.3,3
1783368532,54614,4.2,3
1783368533,54729,1.3,3
1783368534,54842,3.9,3
1783368535,54955,0.2,3
1783368536,55069,5.8,3
1783368537,55184,1.3,3
1783368538,55298,3.6,3
1783368539,55413,7.2,3
1783368540,55526,4.3,3
1783368541,55639,1.6,3
1783368542,55754,6.5,3
1783368543,55869,1.9,3
1783368544,55983,7.0,3
1783368545,56097,8.5,3
1783368546,56212,3.9,3
1783368547,56326,2.9,3
1783368548,56439,4.9,3
1783368549,56554,3.0,3
1783368550,56668,5.0,3
1783368551,56781,4.2,3
1783368552,56896,8.1,3
1783368553,57010,1.3,3
1783368554,57124,3.8,3
1783368555,57237,6.5,3
1783368556,57351,0.4,3
1783368557,57465,2.3,3
1783368558,57578,7.7,3
1783368559,57692,1.4,3
1783368560,57806,0.9,3
1783368561,57922,3.1,3
1783368562,58036,5.9,3
1783368563,58151,0.9,3
1783368564,58265,6.3,3
1783368565,58379,5.0,3
1783368566,58493,8.4,3
1783368567,58608,3.0,3
1783368568,58720,1.9,3
1783368569,58834,0.7,3
1783368570,58948,5.0,3
1783368571,59064,1.1,3
1783368572,59179,4.8,3
1783368573,59292,8.8,3
1783368574,59408,1.9,3
1783368575,59520,4.0,3
1783368576,59634,1.5,3
1783368577,59746,2.6,3
1783368578,59859,3.7,3
1783368579,59972,5.5,3
1783368580,60088,0.6,3
1783368581,60202,0.0,3
1783368582,60315,6.5,3
1783368583,60428,4.1,3
1783368584,60542,1.6,3
1783368585,60655,8.8,3
1783368586,60771,1.0,3
1783368587,60884,6.6,3
1783368588,60997,0.4,3
1783368589,61109,6.3,3
1783368590,61225,0.8,3
1783368591,61339,0.1,3
1783368592,61453,3.0,3
1783368593,61567,5.4,3
1783368594,61681,3.7,3
1783368595,61796,1.2,3
1783368596,61908,4.6,3
1783368597,62022,8.0,3
1783368598,62136,6.4,3
1783368599,62251,5.1,3
1783368600,62365,2.3,3
1783368601,62480,2.6,3
1783368602,62593,8.2,3
1783368603,62706,5.0,3
1783368604,62820,5.4,3
1783368605,62934,2.3,3
1783368606,63048,2.3,3
1783368607,63162,0.9,3
1783368608,63275,0.9,3
1783368609,63388,6.8,3
1783368610,63501,6.7,3
1783368611,63616,3.0,3
1783368612,63728,6.1,3
1783368613,63842,4.9,3
1783368614,63956,1.3,3
1783368615,64068,2.2,3
1783368616,64181,9.4,3
1783368617,64295,8.0,3
1783368618,64409,8.4,3
1783368619,64525,5.5,3
1783368620,64640,2.1,3
1783368621,64754,3.4,3
1783368622,64868,6.3,3
1783368623,64982,2.0,3
1783368624,65094,5.5,3
1783368625,65207,7.4,3
1783368626,65322,2.4,3
1783368627,65438,8.5,3
1783368628,65553,4.3,3
1783368629,65668,0.9,3
1783368630,65781,5.9,3
1783368631,65894,3.4,3
1783368632,66006,9.6,3
1783368633,66120,1.8,3
1783368634,66233,7.4,3
1783368635,66348,3.9,3
1783368636,66462,6.3,3
1783368637,66577,9.2,3
1783368638,66692,1.0,3
1783368639,66806,0.0,3
1783368640,66918,2.8,3
1783368641,67032,1.0,3
1783368642,67146,0.6,3
1783368643,67258,8.2,3
1783368644,67371,6.1,3
1783368645,67485,7.9,3
1783368646,67599,5.9,3
1783368647,67714,8.8,3
1783368648,67828,2.0,3
1783368649,67942,8.4,3
1783368650,68057,5.9,3
1783368651,68171,8.8,3
1783368652,68286,6.5,3
1783368653,68400,4.7,3
1783368654,68514,7.5,3
1783368655,68628,3.1,3
1783368656,68742,5.4,3
1783368657,68857,1.7,3
1783368658,68971,1.7,3
1783368659,69085,4.0,3
1783368660,69199,5.4,3
1783368661,69314,3.0,3
1783368662,69427,8.6,3
1783368663,69541,3.8,3
1783368664,69655,2.2,3
1783368665,69769,1.8,3
1783368666,69884,1.4,3
1783368667,69996,7.9,3
1783368668,70111,4.1,3
1783368669,70225,2.2,3
1783368670,70339,3.0,3
1783368671,70452,5.0,3
1783368672,70568,2.4,3
1783368673,70681,6.8,3
1783368674,70796,2.4,3
1783368675,70911,6.9,3
1783368676,71026,0.6,3
1783368677,71141,2.0,3
1783368678,71255,5.9,3
1783368679,71369,2.7,3
1783368680,71484,7.5,3
